0	﻿خواهشا	﻿خواهشا	﻿خواهشا	﻿خواهشا	N
9	داره	دار|دار	دار|دار	دار+ه|دار+ه	V1+O|N1+O	بن مضارع + ه|اسم + ه
10	میخوره	میخ	میخ	میخ+ور+ه	N1+O+O	اسم + ور + ه
11	.	.	.	.	Si	

0	یه	یه	یه	یه	N1	اسم
1	نفر	نفر	نفر	نفر	N1	اسم
2	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
3	از	از	از	از	Pr	حرف اضافه
4	غذا	غذا	غذا	غذا	N1	اسم
5	خوردن	خورد|خور	خورد|خور	خورد+ن|خور+د+ن	V2+Neg|V1+O+Neg	بن ماضی + ن|بن مضارع + د + ن
6	،	،	،	،	Si	
7	آهنگ	آهنگ	آهنگ	آهنگ	N1	اسم
8	گوش	گوش	گوش	گوش	N1	اسم
9	دادن	داد	داد	داد+ن	V2+Neg	بن ماضی + ن
10	،	،	،	،	Si	
11	فیلم	فیلم|فیل|فیل	فیلم|فیل|فیل	فیلم|فیل+م|فیل+م	N1|N1+N|N1+V	اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
12	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
13	سریال	سریال	سریال	سریال	N1	اسم
14	دیدن	دید	دید	دید+ن	V2+Neg	بن ماضی + ن
15	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
16	ورزش	ورزش|ورز|ورز	ورزش|ورز|ورز	ورزش|ورز+ش|ورز+ش	N1|V|N1+N	اسم|سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد
17	کردن	کرد	کرد	کرد+ن	V2+Neg	بن ماضی + ن
18	لذت	لذت	لذت	لذت	N1	اسم
19	ببره	بره|ببر|بره|بر|بر|بر	بره|ببر|بره|بر|بر|بر	ب+بره|ببر+ه|ب+بره|ب+بر+ه|ب+بر+ه|ب+بر+ه	O+N1|N1+O|O+N1|O+V1+O|O+V1+O|O+N1+O	ب + اسم|اسم + ه|ب + اسم|ب + بن مضارع + ه|ب + بن مضارع + ه|ب + اسم + ه
20	نبود	نبود|بود|بود|بو	نبود|بود|بود|بو	نبود|ن+بود|ن+بود|ن+بو+د	N1|V|V|V	اسم|سوم شخص مفرد|سوم شخص مفرد|سوم شخص مفرد
21	؟	؟	؟	؟	Si	

0	یکی	یکی	یکی	یکی	A2	صفت مبهم
1	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
2	هم	هم|هم|هم	هم|هم|هم	هم|هم|هم	Ad|C0|N	قید|حرف ربط|ضمیر مشترک/متقابل
3	ناراحت	ناراحت|راحت	ناراحت|راحت	ناراحت|نا+راحت	A0|Neg+A0	صفت|نا + صفت
4	کردم	کرد|کرد|کرد	کرد|کرد|کرد	کرد+م|کرد+م|کرد+م	V|N1+N|N1+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
5	ولی	ولی|ولی|ول|ول	ولی|ولی|ول|ول	ولی|ولی|ول+ی|ول+ی	C0|N1|A0+Y|N1+Y	حرف ربط|اسم|صفت + ی|اسم + ی
6	خوشبختانه	خوشبختانه	خوشبختانه	خوشبختانه	Ad	قید
7	سریعا	سریعاً	سریعاً	سریعاً	Ad	قید
8	درستش	درست	درست	درست+ش	A0+N	صفت + ضمیر ملکی سوم شخص مفرد
9	کردم	کرد|کرد|کرد	کرد|کرد|کرد	کرد+م|کرد+م|کرد+م	V|N1+N|N1+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
10	.	.	.	.	Si	

0	آقا	آقا|آقا	آقا|آقا	آقا|آقا	N1|Sp	اسم|شاخص
1	کی	کی|کی|کی	کی|کی|کی	کی|کی|کی	NA|NA|Ab	ضمیر پرسشی|ضمیر پرسشی|اختصارات
2	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
3	متن	متن	متن	متن	N1	اسم
4	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
5	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
6	زمون	زم	زم	زم+ون	N1+Pl	اسم + علامت جمع
7	انتخابات	انتخاب	انتخاب	انتخاب+ات	N1+Pl	اسم + علامت جمع
8	خیلی	خیلی|خیلی|خیل	خیلی|خیلی|خیل	خیلی|خیلی|خیل+ی	A0|Ad|N1+Y	صفت|قید|اسم + ی
9	دست	دست|دست	دست|دست	دست|دست	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
10	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
11	دست	دست|دست	دست|دست	دست|دست	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
12	میشد	شد	شد	می+شد	V	سوم شخص مفرد
13	یادشه	یاد	یاد	یاد+ش+ه	N1+N+O	اسم + ضمیر ملکی سوم شخص مفرد + ه
14	؟	؟	؟	؟	Si	

0	کاش	کاش	کاش	کاش	Intj	صوت
1	انتقال	انتقال	انتقال	انتقال	N1	اسم
2	تجربیات	تجربیات|تجربی	تجربیات|تجربی	تجربیات|تجربی+ات	N1|A0+Pl	اسم|صفت + علامت جمع
3	راحت‌تر	راحت	راحت	راحت+تر	A0+A	صفت + علامت صفت تفضیلی
4	بود	بود|بود|بود|بو	بود|بود|بود|بو	بود|بود|بود|بو+د	V|N1|V|V	سوم شخص مفرد|اسم|سوم شخص مفرد|سوم شخص مفرد
5	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
6	می‌شد	شد	شد	می+شد	V	سوم شخص مفرد
7	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
8	کوچک‌ترها	کوچک|کوچ	کوچک|کوچ	کوچک+تر+ها|کوچ+ک+تر+ها	A0+A+Pl|N1+O+A+Pl	صفت + علامت صفت تفضیلی + علامت جمع|اسم + ک + علامت صفت تفضیلی + علامت جمع
9	فهموند	فهموند	فهموند	فهموند	N
10	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
11	چقدر	چقدر	چقدر	چقدر	Ad	قید
12	مهمن	مهمن	مهمن	مهمن	N
13	.	.	.	.	Si	

0	بالاخره	بالاخره	بالاخره	بالاخره	Ad	قید
1	یه	یه	یه	یه	N1	اسم
2	انیمیشن	انیمیشن	انیمیشن	انیمیشن	N1	اسم
3	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
4	وقتی	وقتی|وقت	وقتی|وقت	وقتی|وقت+ی	Ad|N1+Y	قید|اسم + ی
5	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
6	از	از	از	از	Pr	حرف اضافه
7	اول	اول	اول	اول	A0	صفت
8	تا	تا|تا|تا	تا|تا|تا	تا|تا|تا	Pr|C0|Ab	حرف اضافه|حرف ربط|اختصارات
9	آخرش	آخر	آخر	آخر+ش	N1+N	اسم + ضمیر ملکی سوم شخص مفرد
10	با	با	با	با	Pr	حرف اضافه
11	کیفیت	کیفیت|کیفی|کیفی|کیف|کیف	کیفیت|کیفی|کیفی|کیف|کیف	کیفیت|کیفی+ت|کیفی+ت|کیف+ی+ت|کیف+ی+ت	N1|A0+N|A0+N|N1+Y+N|N1+Y+N	اسم|صفت + ضمیر ملکی دوم شخص مفرد|صفت + ضمیر ملکی دوم شخص مفرد|اسم + ی + ضمیر ملکی دوم شخص مفرد|اسم + ی + ضمیر ملکی دوم شخص مفرد
12	بد	بد	بد	بد	A0	صفت
13	داد	داد|داد	داد|داد	داد|داد	V|N1	سوم شخص مفرد|اسم
14	نمیزنه	نمیزنه	نمیزنه	نمیزنه	N
15	من	من	من	من	N5	ضمیر فاعلی
16	ایرانیم	ایران	ایران	ایران+یم	N2+V	اسم خاص مکان + فعل اول شخص جمع
17	!	!	!	!	Si	

0	علاوه	علاوه	علاوه	علاوه	A0	صفت
1	بر	بر|بر|بر|بر|بر	بر|بر|بر|بر|بر	بر|بر|بر|بر|بر	Pr|V|V|VPr|N1	حرف اضافه|فعل امر مثبت|فعل امر مثبت|پیشوند فعل|اسم
2	اینکه	اینکه	اینکه	اینکه	Ad	قید
3	حرف	حرف|حرف	حرف|حرف	حرف|حرف	N1|N1	اسم|اسم
4	گوش	گوش	گوش	گوش	N1	اسم
5	نمی‌کنه	نمی کنه	نمی کنه	نمی کنه	N
6	!	!	!	!	Si	

0	حرف	حرف|حرف	حرف|حرف	حرف|حرف	N1|N1	اسم|اسم
1	هم	هم|هم|هم	هم|هم|هم	هم|هم|هم	Ad|C0|N	قید|حرف ربط|ضمیر مشترک/متقابل
2	نمی‌زنه	نمی زنه	نمی زنه	نمی زنه	N
3	!!	!!	!!	!!	Si	

0	بالاخره	بالاخره	بالاخره	بالاخره	Ad	قید
1	بعد	بعد|بعد|بعد	بعد|بعد|بعد	بعد|بعد|بعد	A0|N1|N9	صفت|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
2	از	از	از	از	Pr	حرف اضافه
3	چندین	چندین	چندین	چندین	A0	صفت
4	سال	سال	سال	سال	N1	اسم
5	یه	یه	یه	یه	N1	اسم
6	اکیپ	اکیپ	اکیپ	اکیپ	N1	اسم
7	دوست	دوست|دو	دوست|دو	دوست|دو+ست	N1|N1+N	اسم|اسم + ضمیر ملکی سوم شخص مفرد
8	پسر	پسر	پسر	پسر	N1	اسم
9	پیدا	پیدا	پیدا	پیدا	A0	صفت
10	شده	شد	شد	شد+ه	V3+O	فعل اسنادی + ه
11	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
12	باهاشون	باهاشون	باهاشون	باهاشون	N
13	خیلی	خیلی|خیلی|خیل	خیلی|خیلی|خیل	خیلی|خیلی|خیل+ی	A0|Ad|N1+Y	صفت|قید|اسم + ی
14	راحتم	راحت|راحت	راحت|راحت	راحت+م|راحت+م	A0+N|A0+V	صفت + ضمیر ملکی اول شخص مفرد|صفت + فعل اول شخص مفرد
15	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
16	خیلی	خیلی|خیلی|خیل	خیلی|خیلی|خیل	خیلی|خیلی|خیل+ی	A0|Ad|N1+Y	صفت|قید|اسم + ی
17	باهاشون	باهاشون	باهاشون	باهاشون	N
18	خوش	خوش	خوش	خوش	A0	صفت
19	میگذره	میگذره	میگذره	میگذره	N
20	.	.	.	.	Si	

0	شکلات	شکلات|شکل	شکلات|شکل	شکلات|شکل+ات	N1|N1+Pl	اسم|اسم + علامت جمع
1	نازنین	نازنین	نازنین	نازنین	N3	اسم خاص اشخاص
2	من	من	من	من	N5	ضمیر فاعلی
3	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
4	روی	روی|روی|رو|رو|رو	روی|روی|رو|رو|رو	روی|روی|رو+ی|رو+ی|رو+ی	Pr1|N1|N1+Y|V|V	حرف اضافه گروهی|اسم|اسم + ی|دوم شخص مفرد|دوم شخص مفرد
5	قفسه	قفسه|قفس	قفسه|قفس	قفسه|قفس+ه	N1|N1+O	اسم|اسم + ه
6	بود	بود|بود|بود|بو	بود|بود|بود|بو	بود|بود|بود|بو+د	V|N1|V|V	سوم شخص مفرد|اسم|سوم شخص مفرد|سوم شخص مفرد
7	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
8	برداشتین	برداشت|برداشت	برداشت|برداشت	برداشت+ین|برداشت+ین	V2+O|N1+O	بن ماضی + ین|اسم + ین
9	خوردین	خورد|خور	خورد|خور	خورد+ین|خور+د+ین	N1+O|V1+O+O	اسم + ین|بن مضارع + د + ین
10	؟	؟	؟	؟	Si	

0	قدیما	قدیما	قدیما	قدیما	N
1	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
2	گوشی	گوشی|گوش	گوشی|گوش	گوشی|گوش+ی	N1|N1+Y	اسم|اسم + ی
3	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
4	آهنگ	آهنگ	آهنگ	آهنگ	N1	اسم
5	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
6	اینا	اینا	اینا	اینا	N
7	نبود	نبود|بود|بود|بو	نبود|بود|بود|بو	نبود|ن+بود|ن+بود|ن+بو+د	N1|V|V|V	اسم|سوم شخص مفرد|سوم شخص مفرد|سوم شخص مفرد
8	تو	تو|تو|تو	تو|تو|تو	تو|تو|تو	N5|Ad|N1	ضمیر فاعلی|قید|اسم
9	دستشویی	دستشویی	دستشویی	دستشویی	N1	اسم
10	مجبور	مجبور	مجبور	مجبور	A0	صفت
11	بودیم	بود|بود|بود|بود|بود	بود|بود|بود|بود|بود	بود+یم|بود+ی+م|بود+یم|بود+یم|بود+ی+م	V|V|N1+V|V|V	اول شخص جمع|دوم شخص مفرد|اسم + فعل اول شخص جمع|اول شخص جمع|دوم شخص مفرد
12	بشینیم	شین	شین	ب+شین+یم	O+N1+V	ب + اسم + فعل اول شخص جمع
13	پشت	پشت|پش	پشت|پش	پشت|پش+ت	N1|N1+N	اسم|اسم + ضمیر ملکی دوم شخص مفرد
14	خمیردندون	خمیردندون	خمیردندون	خمیردندون	N
15	هارو	هارو	هارو	هارو	N
16	بخونیم	خون	خون	ب+خون+یم	O+N1+V	ب + اسم + فعل اول شخص جمع
17	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
18	حوصله	حوصله	حوصله	حوصله	N1	اسم
19	امون	ام	ام	ام+ون	N1+Pl	اسم + علامت جمع
20	سر	سر|سر|سر|سر|سر	سر|سر|سر|سر|سر	سر|سر|سر|سر|سر	V|N1|N1|N1|N9	فعل امر مثبت|اسم|اسم|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
21	نره	نره|ره|نر	نره|ره|نر	نره|ن+ره|نر+ه	A0|V|A0+O	صفت|فعل امر منفی|صفت + ه
22	.	.	.	.	Si	

0	چقدر	چقدر	چقدر	چقدر	Ad	قید
1	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
2	حسایی	حسایی	حسایی	حسایی	N
3	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
4	ملغمه‌ای	ملغمه	ملغمه	ملغمه+ای	N1+O	اسم + ای
5	از	از	از	از	Pr	حرف اضافه
6	شادی	شادی|شادی|شاد	شادی|شادی|شاد	شادی|شادی|شاد+ی	N1|N3|A0+Y	اسم|اسم خاص اشخاص|صفت + ی
7	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
8	غم‌ان	غم	غم	غم+ان	N1+Pl	اسم + ان
9	خوبن	خوبن	خوبن	خوبن	N
10	.	.	.	.	Si	

0	اولین‌ها	اولین|اول	اولین|اول	اولین+ها|اول+ین+ها	A0+Pl|A0+O+Pl	صفت + علامت جمع|صفت + ین + علامت جمع
1	خیلی	خیلی|خیلی|خیل	خیلی|خیلی|خیل	خیلی|خیلی|خیل+ی	A0|Ad|N1+Y	صفت|قید|اسم + ی
2	معروف	معروف	معروف	معروف	A0	صفت
3	می‌شن	میشن	میشن	میشن	N1	اسم
4	!	!	!	!	Si	

0	مثلا	مثلاً	مثلاً	مثلاً	Ad	قید
1	اولین	اولین|اول	اولین|اول	اولین|اول+ین	A0|A0+O	صفت|صفت + ین
2	کسی	کسی	کسی	کسی	A2	صفت مبهم
3	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
4	شبکه	شبکه|شب	شبکه|شب	شبکه|شب+ک+ه	N1|N1+O+O	اسم|اسم + ک + ه
5	اجتماعی	اجتماعی|اجتماع	اجتماعی|اجتماع	اجتماعی|اجتماع+ی	A0|N1+Y	صفت|اسم + ی
6	درست	درست|درس	درست|درس	درست|درس+ت	A0|N1+N	صفت|اسم + ضمیر ملکی دوم شخص مفرد
7	کرد	کرد|کرد	کرد|کرد	کرد|کرد	V|N1	سوم شخص مفرد|اسم
8	کی	کی|کی|کی	کی|کی|کی	کی|کی|کی	NA|NA|Ab	ضمیر پرسشی|ضمیر پرسشی|اختصارات
9	بود	بود|بود|بود|بو	بود|بود|بود|بو	بود|بود|بود|بو+د	V|N1|V|V	سوم شخص مفرد|اسم|سوم شخص مفرد|سوم شخص مفرد
10	؟	؟	؟	؟	Si	

0	آفرین	آفرین|آفرین	آفرین|آفرین	آفرین|آفرین	V|Intj	فعل امر مثبت|صوت
1	!	!	!	!	Si	

0	زاکربرگ	زاکربرگ	زاکربرگ	زاکربرگ	N
1	!	!	!	!	Si	

0	ولی	ولی|ولی|ول|ول	ولی|ولی|ول|ول	ولی|ولی|ول+ی|ول+ی	C0|N1|A0+Y|N1+Y	حرف ربط|اسم|صفت + ی|اسم + ی
1	اون	اون	اون	اون	N
2	اولی	اولی|اولی|اول	اولی|اولی|اول	اولی|اولی|اول+ی	A0|A0|A0+Y	صفت|صفت|صفت + ی
3	نبود	نبود|بود|بود|بو	نبود|بود|بود|بو	نبود|ن+بود|ن+بود|ن+بو+د	N1|V|V|V	اسم|سوم شخص مفرد|سوم شخص مفرد|سوم شخص مفرد
4	!	!	!	!	Si	

0	ولی	ولی|ولی|ول|ول	ولی|ولی|ول|ول	ولی|ولی|ول+ی|ول+ی	C0|N1|A0+Y|N1+Y	حرف ربط|اسم|صفت + ی|اسم + ی
1	معروف‌ترین	معروف	معروف	معروف+ترین	A0+A	صفت + علامت صفت تفضیلی
2	بود	بود|بود|بود|بو	بود|بود|بود|بو	بود|بود|بود|بو+د	V|N1|V|V	سوم شخص مفرد|اسم|سوم شخص مفرد|سوم شخص مفرد
3	.	.	.	.	Si	

0	از	از	از	از	Pr	حرف اضافه
1	خوبیای	خوبیای	خوبیای	خوبیای	N
2	اینترنت	اینترنت	اینترنت	اینترنت	N1	اسم
3	میشه	میش|می|می	میش|می|می	میش+ه|می+ش+ه|می+ش+ه	N1+O|N1+N+O|N1+N+O	اسم + ه|اسم + ضمیر ملکی سوم شخص مفرد + ه|اسم + ضمیر ملکی سوم شخص مفرد + ه
4	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
5	قسمت	قسمت|قسم|قسم	قسمت|قسم|قسم	قسمت|قسم+ت|قسم+ت	N1|N1+N|N1+N	اسم|اسم + ضمیر ملکی دوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
6	کردن	کرد	کرد	کرد+ن	V2+Neg	بن ماضی + ن
7	شادی‌ها	شادی|شاد	شادی|شاد	شادی+ها|شاد+ی+ها	N1+Pl|A0+Y+Pl	اسم + علامت جمع|صفت + ی + علامت جمع
8	با	با	با	با	Pr	حرف اضافه
9	یکی	یکی	یکی	یکی	A2	صفت مبهم
10	از	از	از	از	Pr	حرف اضافه
11	اون	اون	اون	اون	N
12	سر	سر|سر|سر|سر|سر	سر|سر|سر|سر|سر	سر|سر|سر|سر|سر	V|N1|N1|N1|N9	فعل امر مثبت|اسم|اسم|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
13	دنیا	دنیا	دنیا	دنیا	N1	اسم
14	اشاره	اشاره	اشاره	اشاره	N1	اسم
15	کرد	کرد|کرد	کرد|کرد	کرد|کرد	V|N1	سوم شخص مفرد|اسم
16	.	.	.	.	Si	

0	ولی	ولی|ولی|ول|ول	ولی|ولی|ول|ول	ولی|ولی|ول+ی|ول+ی	C0|N1|A0+Y|N1+Y	حرف ربط|اسم|صفت + ی|اسم + ی
1	دیگه	دیگ	دیگ	دیگ+ه	N1+O	اسم + ه
2	بابابزرگم	بابابزرگ|بابابزرگ	بابابزرگ|بابابزرگ	بابابزرگ+م|بابابزرگ+م	N1+N|N1+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
3	نیست	نیست|است|نی	نیست|است|نی	نیست|نی+است|نی+ست	N1|V|N1+N	اسم|سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد
4	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
5	با	با	با	با	Pr	حرف اضافه
6	هم	هم|هم|هم	هم|هم|هم	هم|هم|هم	Ad|C0|N	قید|حرف ربط|ضمیر مشترک/متقابل
7	بستنی	بستنی|بست|ست	بستنی|بست|ست	بستنی|بست+نی|ب+ست+نی	N1|V2+O|O+N1+O	اسم|بن ماضی + نی|ب + اسم + نی
8	بخوریم	بخور|بخور|خور|خور	بخور|بخور|خور|خور	بخور+یم|بخور+یم|ب+خور+یم|ب+خور+ی+م	N1+V|A0+V|V|V	اسم + فعل اول شخص جمع|صفت + فعل اول شخص جمع|اول شخص جمع|دوم شخص مفرد
9	قایمکی	قایم	قایم	قایم+ک+ی	N1+O+Y	اسم + ک + ی
10	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
11	دور	دور|دور	دور|دور	دور|دور	A0|N1	صفت|اسم
12	از	از	از	از	Pr	حرف اضافه
13	چشم	چشم|چشم|چش	چشم|چشم|چش	چشم|چشم|چش+م	N1|Ad|V	اسم|قید|اول شخص مفرد
14	مادربزرگ	مادربزرگ	مادربزرگ	مادربزرگ	N1	اسم
15	.	.	.	.	Si	

0	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
1	یاد	یاد	یاد	یاد	N1	اسم
2	آن	آن|آن	آن|آن	آن|آن	A1|N6	صفت اشاره|ضمیر اشاره
3	شب	شب	شب	شب	N1	اسم
4	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
5	مشهد	مشهد	مشهد	مشهد	N2	اسم خاص مکان
6	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
7	از	از	از	از	Pr	حرف اضافه
8	خواب	خواب|خواب	خواب|خواب	خواب|خواب	V|N1	فعل امر مثبت|اسم
9	با	با	با	با	Pr	حرف اضافه
10	گریه	گریه|گری|گری	گریه|گری|گری	گریه|گری+ه|گری+ه	N1|V1+O|N1+O	اسم|بن مضارع + ه|اسم + ه
11	پاشدم	پاشدم	پاشدم	پاشدم	N
12	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
13	رفیقم	رفیق|رفیق	رفیق|رفیق	رفیق+م|رفیق+م	N1+N|N1+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
14	کنارم	کنار|کنار|کنار|کنار	کنار|کنار|کنار|کنار	کنار+م|کنار+م|کنار+م|کنار+م	N1+N|N1+V|N1+N|N1+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
15	بود	بود|بود|بود|بو	بود|بود|بود|بو	بود|بود|بود|بو+د	V|N1|V|V	سوم شخص مفرد|اسم|سوم شخص مفرد|سوم شخص مفرد
16	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
17	کلی	کلی|کل|کل|کل|کل|کل	کلی|کل|کل|کل|کل|کل	کلی|کل+ی|کل+ی|کل+ی|کل+ی|کل+ی	A0|A0+Y|A0+Y|N1+Y|N1+Y|N1+Y	صفت|صفت + ی|صفت + ی|اسم + ی|اسم + ی|اسم + ی
18	هوامو	هوامو	هوامو	هوامو	N
19	داشت	داشت|داشت|داشت|داش	داشت|داشت|داشت|داش	داشت|داشت|داشت|داش+ت	V|V5|N1|N1+N	سوم شخص مفرد|فعل کمکی|اسم|اسم + ضمیر ملکی دوم شخص مفرد
20	.	.	.	.	Si	

