
0	ما	ما	﻿ما	ما	N5	ضمیر فاعلی
129	،	،	،	،	O	
130	باید	باید	باید	باید	V4	فعل وجه نما
131	با	با	با	با	Pr	حرف اضافه
132	سلول‌‌ها	سلول|سل	سلول‌‌	سلول+ها|سل+ول+ها	Pl+O+N1|Pl+N1	اسم + علامت جمع|اسم + ول + علامت جمع
133	یی	ئی	یی	ئی	Ab	اختصارات
134	جدید	جدید|جد	جدید	جدید|جد+ید	O+N1|A0	صفت|اسم + فعل دوم شخص جمع
135	جایگزین	جایگزین	جایگزین	جایگزین	N1	اسم
136	شد | شو	شد | شو	شد | شو	شد | شو	O	
137	)	)	)	)	O	
138	.	.	.	.	Si	علامت نگارشی

0	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
1	زبان	زبان	زبان	زبان	N1	اسم
2	دیگر	دیگر|دیگر|دی	دیگر	دیگر|دیگر|دی+گر	O+N1|A2|Ad	قید|صفت مبهم|اسم + گر
3	سلول	سلول|سل	سلول	سلول|سل+ول	O+N1|N1	اسم|اسم + ول
4	یک	یک	یک	یک	No	عدد حرفی
5	فرد	فرد	فرد	فرد	N1	اسم
6	سرطان	سرطان	سرطان	سرطان	N1	اسم
7	نامیرا	نامیرا	نامیرا	نامیرا	A0	صفت
8	شده	شد	شده	شد+ه	O+V3	فعل اسنادی + ه
9	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
10	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
11	مقابل	مقابل|مقابل	مقابل	مقابل|مقابل	N9|A0	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
12	مرگ	مرگ	مرگ	مرگ	N1	اسم
13	خود	خود|خود	خود	خود|خود	N1|N8	ضمیر مشترک/متقابل|اسم
14	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
15	فرمان	فرمان|فر|فر	فرمان	فرمان|فر+مان|فر+مان	O+A0|O+N1|N1	اسم|اسم + ضمیر ملکی اول شخص جمع|صفت + ضمیر ملکی اول شخص جمع
16	طبیعی	طبیعی	طبیعی	طبیعی	A0	صفت
17	بدن	بدن	بدن	بدن	N1	اسم
18	مقاومت	مقاومت|مقاوم	مقاومت	مقاومت|مقاوم+ت	O+A0|N1	اسم|صفت + ضمیر ملکی دوم شخص مفرد
19	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
20	ولی	ولی|ولی|ول|ول	ولی	ولی|ولی|ول+ی|ول+ی	Y+N1|Y+A0|N1|C0	حرف ربط|اسم|صفت + ی|اسم + ی
21	فرد	فرد	فرد	فرد	N1	اسم
22	سرطان	سرطان	سرطان	سرطان	N1	اسم
23	فرد	فرد	فرد	فرد	N1	اسم
24	زنده	زنده	زنده	زنده	A0	صفت
25	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
26	با	با	با	با	Pr	حرف اضافه
27	اینکه	اینکه	اینکه	اینکه	Ad	قید
28	برخی	برخی|رخ|رخ	برخی	برخی|ب+رخ+ی|ب+رخ+ی	Y+N1+O|Y+N1+O|A2	صفت مبهم|ب + اسم + ی|ب + اسم + ی
29	از	از	از	از	Pr	حرف اضافه
30	اعضا	اعضا	اعضا	اعضا	N1	اسم
31	بدن	بدن	بدن	بدن	N1	اسم
32	درست	درست|درس	درست	درست|درس+ت	O+N1|A0	صفت|اسم + ضمیر ملکی دوم شخص مفرد
33	کار	کار|کار	کار	کار|کار	V6|N1	اسم|فعل امر مثبت
34	نمی‌‌کند	کن|کن	نمی‌‌کند	نمی+کن+د|نمی+کن+د	|O+v1+O+Neg|O+v1+O+Neg	فعل حال اخباری منفی:سوم شخص مفرد|فعل حال اخباری منفی:سوم شخص مفرد
35	.	.	.	.	Si	علامت نگارشی

0	زندگی	زندگی|زنده	زندگی	زندگی|زنده+گی	O+A0|N1	اسم|صفت + گی
1	ممکن	ممکن	ممکن	ممکن	A0	صفت
2	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
3	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
4	خاطر	خاطر|خاطر	خاطر	خاطر|خاطر	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
5	سلول	سلول|سل	سلول	سلول|سل+ول	O+N1|N1	اسم|اسم + ول
6	عصبی	عصبی|عصب	عصبی	عصبی|عصب+ی	Y+N1|A0	صفت|اسم + ی
7	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
8	مغز	مغز	مغز	مغز	N1	اسم
9	بود | باش	بود | باش	بود | باش	بود | باش	O	
10	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
11	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
12	طول	طول	طول	طول	N1	اسم
13	زندگی	زندگی|زنده	زندگی	زندگی|زنده+گی	O+A0|N1	اسم|صفت + گی
14	جایگزین	جایگزین	جایگزین	جایگزین	N1	اسم
15	شد | شو	شد | شو	شد | شو	شد | شو	O	
16	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
17	فقط	فقط	فقط	فقط	Ad	قید
18	رشد	رشد	رشد	رشد	N1	اسم
19	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
20	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
21	دانست | دان	دانست | دان	دانست | دان	دانست | دان	O	
22	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
23	اگر	اگر	اگر	اگر	C0	حرف ربط
24	فرد	فرد	فرد	فرد	N1	اسم
25	اعضا	اعضا	اعضا	اعضا	N1	اسم
26	بدن	بدن	بدن	بدن	N1	اسم
27	را	را	را	را	Po	حرف اضافه پسین
28	اهدا	اهدا	اهدا	اهدا	N1	اسم
29	کند	کند|کن|کن	کند	کند|کن+د|کن+د	A0|O+v1|O+v1	صفت|فعل مضارع ساده:سوم شخص مفرد|فعل مضارع ساده:سوم شخص مفرد
30	خودش	خودش|خود	خودش	خودش|خود+ش	O+N1|N7	ضمیر تاکیدی/انعکاسی|اسم + ضمیر ملکی سوم شخص مفرد
31	باقی	باقی|اق	باقی	باقی|ب+اق+ی	Y+N1+O|N1	اسم|ب + اسم + ی
32	میماند	ماند|مان	میماند	می+ماند|می+مان+د	|v2+O|O+v1+O	فعل ماضی استمراری:سوم شخص مفرد|فعل حال اخباری:سوم شخص مفرد
33	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
34	از	از	از	از	Pr	حرف اضافه
35	خودش	خودش|خود	خودش	خودش|خود+ش	O+N1|N7	ضمیر تاکیدی/انعکاسی|اسم + ضمیر ملکی سوم شخص مفرد
36	کم	کم|کم	کم	کم|کم	N1|A0	صفت|اسم
37	شد | شو	شد | شو	شد | شو	شد | شو	O	
38	ولی	ولی|ولی|ول|ول	ولی	ولی|ولی|ول+ی|ول+ی	Y+N1|Y+A0|N1|C0	حرف ربط|اسم|صفت + ی|اسم + ی
39	کس	کس	کس	کس	N1	اسم
40	توانست | توان	توانست | توان	توانست | توان	توانست | توان	O	
41	مغز	مغز	مغز	مغز	N1	اسم
42	را	را	را	را	Po	حرف اضافه پسین
43	عوض	عوض	عوض	عوض	N1	اسم
44	کند	کند|کن|کن	کند	کند|کن+د|کن+د	A0|O+v1|O+v1	صفت|فعل مضارع ساده:سوم شخص مفرد|فعل مضارع ساده:سوم شخص مفرد
45	.	.	.	.	Si	علامت نگارشی

0	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
1	تعریف	تعریف	تعریف	تعریف	N1	اسم
2	دیگر	دیگر|دیگر|دی	دیگر	دیگر|دیگر|دی+گر	O+N1|A2|Ad	قید|صفت مبهم|اسم + گر
3	حیات	حیات|حی	حیات	حیات|حی+ات	Pl+A0|N1	اسم|صفت + علامت جمع
4	نحوه	نحوه|نحوه|نحو	نحوه	نحوه|نحوه|نحو+ه	O+N1|N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ه
5	خاص	خاص	خاص	خاص	A0	صفت
6	از	از	از	از	Pr	حرف اضافه
7	هستی	هستی|هست|هست	هستی	هستی|هست+ی|هست+ی	Y+N1|N1|O+v1	اسم|فعل مضارع ساده:دوم شخص مفرد|اسم + ی
8	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
9	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
10	مبدأ	مبدأ	مبدأ	مبدأ	N1	اسم
11	ظهور	ظهور	ظهور	ظهور	N1	اسم
12	علم	علم	علم	علم	N1	اسم
13	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
14	قدرت	قدرت|قدر|قدر	قدرت	قدرت|قدر+ت|قدر+ت	O+A0|O+N1|N1	اسم|اسم + ضمیر ملکی دوم شخص مفرد|صفت + ضمیر ملکی دوم شخص مفرد
15	شده	شد	شده	شد+ه	O+V3	فعل اسنادی + ه
16	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
17	عامل	عامل	عامل	عامل	N1	اسم
18	هماهنگ	هماهنگ	هماهنگ	هماهنگ	A0	صفت
19	کننده	کننده|کن|کن	کننده	کننده|کن+نده|کن+نده	O+V1|O+V1|A0	صفت|بن مضارع + نده|بن مضارع + نده
20	«	«	«	«	O	
21	اندیشه	اندیشه|اندیش	اندیشه	اندیشه|اندیش+ه	O+V1|N1	اسم|بن مضارع + ه
22	علم	علم	علم	علم	N1	اسم
23	»	»	»	»	O	
24	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
25	«	«	«	«	O	
26	انگیزه	انگیزه|انگیز	انگیزه	انگیزه|انگیز+ه	O+V1|N1	اسم|بن مضارع + ه
27	عملی	عملی|عمل	عملی	عملی|عمل+ی	Y+N1|A0	صفت|اسم + ی
28	»	»	»	»	O	
29	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
30	،	،	،	،	O	
31	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
32	طوری	طور	طوری	طور+ی	Y+N1	اسم + ی
33	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
34	اندیشه	اندیشه|اندیش	اندیشه	اندیشه|اندیش+ه	O+V1|N1	اسم|بن مضارع + ه
35	علم	علم	علم	علم	N1	اسم
36	بر	بر|بر|بر|بر	بر	بر|بر|بر|بر	N1|VPr|V6|Pr	حرف اضافه|فعل امر مثبت|پیشوند فعل|اسم
37	انگیزه	انگیزه|انگیز	انگیزه	انگیزه|انگیز+ه	O+V1|N1	اسم|بن مضارع + ه
38	عملی	عملی|عمل	عملی	عملی|عمل+ی	Y+N1|A0	صفت|اسم + ی
39	اشراف	اشراف	اشراف	اشراف	N1	اسم
40	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
41	نظارت	نظارت|نظار	نظارت	نظارت|نظار+ت	O+N1|N1	اسم|اسم + ضمیر ملکی دوم شخص مفرد
42	داشته	داشته|داشت|داشت	داشته	داشته|داشت+ه|داشت+ه	O+N1|O+v2|A0	صفت|ریشه ماضی + ه|اسم + ه
43	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
44	انگیزه	انگیزه|انگیز	انگیزه	انگیزه|انگیز+ه	O+V1|N1	اسم|بن مضارع + ه
45	عملی	عملی|عمل	عملی	عملی|عمل+ی	Y+N1|A0	صفت|اسم + ی
46	تحت	تحت	تحت	تحت	Pr1	حرف اضافه گروهی
47	هدایت	هدایت	هدایت	هدایت	N1	اسم
48	اندیشه	اندیشه|اندیش	اندیشه	اندیشه|اندیش+ه	O+V1|N1	اسم|بن مضارع + ه
49	علم	علم	علم	علم	N1	اسم
50	،	،	،	،	O	
51	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
52	صورت	صورت|صورت|صور	صورت	صورت|صورت|صور+ت	O+N1|N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ضمیر ملکی دوم شخص مفرد
53	کوشش	کوشش|کوش|کوش	کوشش	کوشش|کوش+ش|کوش+ش	O+N1|N1|O+v1	اسم|فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد
54	عین	عین|عین	عین	عین|عین	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
55	ظهور	ظهور	ظهور	ظهور	N1	اسم
56	یافت | یاب	یافت | یاب	یافت | یاب	یافت | یاب	O	
57	.	.	.	.	Si	علامت نگارشی
